"","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RH","SR","TOUT"
"2013-03",0.459032258064516,3.76451612903226,13.0967741935484,16.8612903225806,51.8064516129032,47.8064516129032,NA,710.938709677419,35.258064516129,0.594709677419355,25.3825806451613
"2013-04",0.609333333333333,4.62666666666667,14.4766666666667,19.1033333333333,56.3,57.4333333333333,NA,708.236666666667,46.8333333333333,0.5394,27.2683333333333
"2013-05",0.782333333333333,3.45666666666667,13.11,16.5666666666667,50.4,42.2,NA,709.466666666667,59.0333333333333,0.471666666666667,28.5883333333333
"2013-06",0.71962962962963,2.10740740740741,7.64074074074074,9.74814814814815,41.1111111111111,31.0740740740741,NA,709.151851851852,48.7407407407407,0.646296296296296,32.9344444444444
"2013-07",0.666,1.66666666666667,8.24333333333333,9.91,49.3,35,12.9565217391304,710.513333333333,53.1666666666667,0.664466666666667,31.5216666666667
"2013-08",0.720645161290323,1.27142857142857,6.77931034482759,8.00689655172414,49.8709677419355,24.8,11.12,710.674193548387,45.3548387096774,0.712935483870968,33.1303225806452
"2013-09",1.01366666666667,7.03,10.2966666666667,17.3266666666667,39.5,42.9642857142857,15.4347826086957,709.243333333333,66.1666666666667,0.325633333333333,28.563
"2013-10",1.15193548387097,4.7741935483871,13.7870967741935,18.5612903225806,45.8709677419355,47.1290322580645,22.1666666666667,710.783870967742,66.1290322580645,0.356387096774194,25.6048387096774
"2013-11",1.59833333333333,4.08333333333333,20.0833333333333,24.1833333333333,27.0666666666667,73.5,22.3,713.646666666667,69.9333333333333,0.1868,18.5293333333333
"2013-12",1.67379310344828,18.1965517241379,30.5068965517241,48.7034482758621,28.1935483870968,73.4193548387097,30.5161290322581,712.764516129032,57.9032258064516,0.229645161290323,18.0345161290323
"2014-01",1.44677419354839,6.83333333333333,25.9133333333333,32.7466666666667,30.7096774193548,76.0645161290323,21.75,713.222580645161,43.4838709677419,0.399258064516129,19.0951612903226
"2014-02",0.7188,12.1444444444444,19.7222222222222,31.8666666666667,44.4642857142857,81,25.7777777777778,710.114285714286,55.4642857142857,0.441107142857143,20.9632142857143
"2014-03",0.469,13.3733333333333,16.3133333333333,29.6866666666667,52.3,74.4827586206897,22.3888888888889,710.266666666667,53.3666666666667,0.4781,22.629
"2014-04",1.02241379310345,4.73103448275862,13.8034482758621,18.5344827586207,55.04,80.3928571428571,18.0952380952381,708.751724137931,44.7241379310345,0.588,27.8220689655172
"2014-05",0.564666666666667,3.4258064516129,10.9451612903226,14.3709677419355,57.7741935483871,51.3225806451613,15.4827586206897,709.651612903226,49.9677419354839,0.579290322580645,29.4077419354839
"2014-06",0.858,18.0966666666667,10.3566666666667,28.45,27.8333333333333,58.0333333333333,22.15,708.66,54.6666666666667,0.556966666666667,31.874
"2014-07",0.548709677419355,3.53076923076923,8.00769230769231,11.5384615384615,51.5714285714286,52.0344827586207,19.8181818181818,710.690322580645,47.3225806451613,0.585258064516129,32.9096774193548
"2014-08",0.545,2.62666666666667,5.62,8.24666666666667,46.5333333333333,56.25,16.7407407407407,709.743333333333,45.9666666666667,0.585,33.6186666666667
"2014-09",0.852413793103448,3.36206896551724,8.21724137931034,11.5793103448276,35.9655172413793,48.3103448275862,19.7826086956522,710.237931034483,66.3793103448276,0.405793103448276,28.2058620689655
"2014-10",1.23413793103448,3.77241379310345,11.8413793103448,15.6137931034483,50.5172413793103,69.6551724137931,23.3846153846154,710.427586206897,63.0344827586207,0.427034482758621,27.2827586206897
"2014-11",1.71071428571429,6.76785714285714,17.3678571428571,24.1357142857143,32.7037037037037,66.1111111111111,19.1111111111111,713.467857142857,60.9642857142857,0.240714285714286,18.8167857142857
"2014-12",2.09096774193548,12.0677419354839,17.1064516129032,29.1741935483871,17.5161290322581,74.5185185185185,24.3666666666667,712.316129032258,73.7096774193548,0.178838709677419,18.4209677419355
"2015-01",2.37322580645161,9.87741935483871,16.3161290322581,26.1935483870968,24.8387096774194,82.1785714285714,25.2903225806452,714.425806451613,65.2258064516129,0.229935483870968,15.7561290322581
"2015-02",1.45576923076923,6.80384615384615,12.1153846153846,18.9192307692308,30.6153846153846,69.3076923076923,16.7083333333333,712.273076923077,63.9615384615385,0.188076923076923,17.8623076923077
"2015-03",1.62258064516129,6.20322580645161,13.5741935483871,19.7774193548387,37.5161290322581,86.2258064516129,28.1071428571429,712.267741935484,67.4516129032258,0.2275,20.4803225806452
"2015-04",1.90266666666667,3.25555555555556,11.5333333333333,14.7888888888889,55.4,92.0740740740741,29.8275862068966,708.943333333333,58.4333333333333,0.3908,26.554
"2015-05",1.60933333333333,2.51,6.89,9.4,43.3666666666667,63.2333333333333,33.4615384615385,709.68,68.1666666666667,0.3748,28.241
"2015-06",1.10172413793103,2.80689655172414,5.09655172413793,7.90344827586207,37.2758620689655,56.8965517241379,19.2857142857143,710.286206896552,64.551724137931,0.44751724137931,29.5062068965517
"2015-07",0.781666666666667,1.80384615384615,4.73333333333333,6.41333332856667,52.8666666666667,69.1333333333333,17.8214285714286,710.193333333333,52.6,0.603548391096774,32.4626666666667
"2015-08",0.529333333333333,2.59230769230769,4.47,6.74,56.3333333333333,58.2857142857143,18.7058823529412,709.472413793103,41.448275862069,0.500645161290323,34.1706896551724
"2015-09",0.831,4.05,3.732,7.41785714285714,39.5,43.6666666666667,NA,709.453333333333,52.8333333333333,0.299,32.1636666666667
"2015-10",1.15161290322581,4.43225806451613,4.90967741935484,9.34838709677419,40.3225806451613,44.0714285714286,NA,710.303225806452,56.2258064516129,0.21658064516129,28.3851612903226
"2015-11",1.52666666666667,7.38,9.13333333333333,16.5,31.9285714285714,65.5666666666667,NA,711.463333333333,67.2666666666667,0.0912083333333333,21.851
"2015-12",0.887741935483871,5.28064516129032,13.0548387096774,18.2838709677419,26.1935483870968,85.1034482758621,NA,710.164516129032,45.3548387096774,0.0864193548387097,22.3341935483871
